,game_nr,num_iter,mcts_color,winner
0,0,1000,white (X),black (O)
1,1,1000,black (O),black (O)
2,2,1000,white (X),white (X)
3,3,1000,black (O),black (O)
4,4,1000,white (X),black (O)
5,5,1000,black (O),white (X)
6,6,1000,white (X),white (X)
7,7,1000,black (O),white (X)
8,8,1000,white (X),white (X)
9,9,1000,black (O),
10,10,1000,white (X),white (X)
11,11,1000,black (O),black (O)
12,12,1000,white (X),white (X)
13,13,1000,black (O),white (X)
14,14,1000,white (X),white (X)
15,15,1000,black (O),black (O)
16,16,1000,white (X),white (X)
17,17,1000,black (O),black (O)
18,18,1000,white (X),white (X)
19,19,1000,black (O),black (O)
20,20,1000,white (X),
21,21,1000,black (O),black (O)
22,22,1000,white (X),white (X)
23,23,1000,black (O),black (O)
24,24,1000,white (X),black (O)
25,25,1000,black (O),white (X)
26,26,1000,white (X),white (X)
27,27,1000,black (O),white (X)
28,28,1000,white (X),black (O)
29,29,1000,black (O),white (X)
30,30,1000,white (X),
31,31,1000,black (O),
32,32,1000,white (X),white (X)
33,33,1000,black (O),black (O)
34,34,1000,white (X),white (X)
35,35,1000,black (O),white (X)
36,36,1000,white (X),white (X)
37,37,1000,black (O),black (O)
38,38,1000,white (X),white (X)
39,39,1000,black (O),
40,40,1000,white (X),white (X)
41,41,1000,black (O),
42,42,1000,white (X),white (X)
43,43,1000,black (O),white (X)
44,44,1000,white (X),white (X)
45,45,1000,black (O),black (O)
46,46,1000,white (X),white (X)
47,47,1000,black (O),white (X)
48,48,1000,white (X),white (X)
49,49,1000,black (O),white (X)
50,50,1000,white (X),white (X)
51,51,1000,black (O),white (X)
52,52,1000,white (X),white (X)
53,53,1000,black (O),white (X)
54,54,1000,white (X),black (O)
55,55,1000,black (O),black (O)
56,56,1000,white (X),black (O)
57,57,1000,black (O),
58,58,1000,white (X),white (X)
59,59,1000,black (O),black (O)
60,60,1000,white (X),white (X)
61,61,1000,black (O),black (O)
62,62,1000,white (X),white (X)
63,63,1000,black (O),
64,64,1000,white (X),
65,65,1000,black (O),white (X)
66,66,1000,white (X),white (X)
67,67,1000,black (O),black (O)
68,68,1000,white (X),black (O)
69,69,1000,black (O),black (O)
70,70,1000,white (X),black (O)
71,71,1000,black (O),
72,72,1000,white (X),white (X)
73,73,1000,black (O),white (X)
74,74,1000,white (X),black (O)
75,75,1000,black (O),black (O)
76,76,1000,white (X),black (O)
77,77,1000,black (O),
78,78,1000,white (X),black (O)
79,79,1000,black (O),white (X)
80,80,1000,white (X),
81,81,1000,black (O),black (O)
82,82,1000,white (X),black (O)
83,83,1000,black (O),white (X)
84,84,1000,white (X),white (X)
85,85,1000,black (O),black (O)
86,86,1000,white (X),black (O)
87,87,1000,black (O),black (O)
88,88,1000,white (X),white (X)
89,89,1000,black (O),white (X)
90,90,1000,white (X),black (O)
91,91,1000,black (O),black (O)
92,92,1000,white (X),
93,93,1000,black (O),black (O)
94,94,1000,white (X),
95,95,1000,black (O),black (O)
96,96,1000,white (X),black (O)
97,97,1000,black (O),black (O)
98,98,1000,white (X),black (O)
99,99,1000,black (O),
100,100,1000,white (X),black (O)
101,101,1000,black (O),white (X)
102,102,1000,white (X),
103,103,1000,black (O),white (X)
104,104,1000,white (X),white (X)
105,105,1000,black (O),white (X)
106,106,1000,white (X),white (X)
107,107,1000,black (O),black (O)
108,108,1000,white (X),white (X)
109,109,1000,black (O),white (X)
110,110,1000,white (X),black (O)
111,111,1000,black (O),black (O)
112,112,1000,white (X),white (X)
113,113,1000,black (O),
114,114,1000,white (X),black (O)
115,115,1000,black (O),black (O)
116,116,1000,white (X),
117,117,1000,black (O),black (O)
118,118,1000,white (X),white (X)
119,119,1000,black (O),
120,120,1000,white (X),white (X)
121,121,1000,black (O),white (X)
122,122,1000,white (X),white (X)
123,123,1000,black (O),black (O)
124,124,1000,white (X),
125,125,1000,black (O),black (O)
126,126,1000,white (X),white (X)
127,127,1000,black (O),black (O)
128,128,1000,white (X),black (O)
129,129,1000,black (O),white (X)
130,130,1000,white (X),white (X)
131,131,1000,black (O),black (O)
132,132,1000,white (X),white (X)
133,133,1000,black (O),black (O)
134,134,1000,white (X),white (X)
135,135,1000,black (O),black (O)
136,136,1000,white (X),black (O)
137,137,1000,black (O),white (X)
138,138,1000,white (X),black (O)
139,139,1000,black (O),white (X)
140,140,1000,white (X),
141,141,1000,black (O),black (O)
142,142,1000,white (X),white (X)
143,143,1000,black (O),black (O)
144,144,1000,white (X),black (O)
145,145,1000,black (O),white (X)
146,146,1000,white (X),white (X)
147,147,1000,black (O),black (O)
148,148,1000,white (X),black (O)
149,149,1000,black (O),black (O)
150,150,1000,white (X),black (O)
151,151,1000,black (O),white (X)
152,152,1000,white (X),white (X)
153,153,1000,black (O),
154,154,1000,white (X),white (X)
155,155,1000,black (O),black (O)
156,156,1000,white (X),black (O)
157,157,1000,black (O),white (X)
158,158,1000,white (X),black (O)
159,159,1000,black (O),black (O)
160,160,1000,white (X),white (X)
161,161,1000,black (O),black (O)
162,162,1000,white (X),black (O)
163,163,1000,black (O),
164,164,1000,white (X),white (X)
165,165,1000,black (O),black (O)
166,166,1000,white (X),black (O)
167,167,1000,black (O),black (O)
168,168,1000,white (X),white (X)
169,169,1000,black (O),
170,170,1000,white (X),white (X)
171,171,1000,black (O),white (X)
172,172,1000,white (X),white (X)
173,173,1000,black (O),black (O)
174,174,1000,white (X),
175,175,1000,black (O),white (X)
176,176,1000,white (X),black (O)
177,177,1000,black (O),white (X)
178,178,1000,white (X),white (X)
179,179,1000,black (O),white (X)
180,180,1000,white (X),black (O)
181,181,1000,black (O),white (X)
182,182,1000,white (X),black (O)
183,183,1000,black (O),white (X)
184,184,1000,white (X),black (O)
185,185,1000,black (O),
186,186,1000,white (X),white (X)
187,187,1000,black (O),
188,188,1000,white (X),white (X)
189,189,1000,black (O),white (X)
