,game_nr,ppo_color,winner,ppo_wins,ppo_loose,draw
0,0,white (X),white (X),1,0,0
1,1,black (O),black (O),1,0,0
2,2,white (X),white (X),1,0,0
3,3,black (O),black (O),1,0,0
4,4,white (X),black (O),0,1,0
5,5,black (O),white (X),0,1,0
6,6,white (X),white (X),1,0,0
7,7,black (O),black (O),1,0,0
8,8,white (X),white (X),1,0,0
9,9,black (O),black (O),1,0,0
10,10,white (X),black (O),0,1,0
11,11,black (O),black (O),1,0,0
12,12,white (X),black (O),0,1,0
13,13,black (O),black (O),1,0,0
14,14,white (X),white (X),1,0,0
15,15,black (O),black (O),1,0,0
16,16,white (X),white (X),1,0,0
17,17,black (O),black (O),1,0,0
18,18,white (X),white (X),1,0,0
19,19,black (O),black (O),1,0,0
20,20,white (X),white (X),1,0,0
21,21,black (O),black (O),1,0,0
22,22,white (X),white (X),1,0,0
23,23,black (O),black (O),1,0,0
24,24,white (X),white (X),1,0,0
25,25,black (O),black (O),1,0,0
26,26,white (X),white (X),1,0,0
27,27,black (O),black (O),1,0,0
28,28,white (X),white (X),1,0,0
29,29,black (O),black (O),1,0,0
30,30,white (X),white (X),1,0,0
31,31,black (O),black (O),1,0,0
32,32,white (X),white (X),1,0,0
33,33,black (O),black (O),1,0,0
34,34,white (X),white (X),1,0,0
35,35,black (O),white (X),0,1,0
36,36,white (X),white (X),1,0,0
37,37,black (O),black (O),1,0,0
38,38,white (X),white (X),1,0,0
39,39,black (O),black (O),1,0,0
40,40,white (X),white (X),1,0,0
41,41,black (O),white (X),0,1,0
42,42,white (X),white (X),1,0,0
43,43,black (O),black (O),1,0,0
44,44,white (X),white (X),1,0,0
45,45,black (O),black (O),1,0,0
46,46,white (X),white (X),1,0,0
47,47,black (O),black (O),1,0,0
48,48,white (X),white (X),1,0,0
49,49,black (O),black (O),1,0,0
50,50,white (X),white (X),1,0,0
51,51,black (O),black (O),1,0,0
52,52,white (X),white (X),1,0,0
53,53,black (O),black (O),1,0,0
54,54,white (X),white (X),1,0,0
55,55,black (O),black (O),1,0,0
56,56,white (X),white (X),1,0,0
57,57,black (O),black (O),1,0,0
58,58,white (X),white (X),1,0,0
59,59,black (O),black (O),1,0,0
60,60,white (X),white (X),1,0,0
61,61,black (O),black (O),1,0,0
62,62,white (X),white (X),1,0,0
63,63,black (O),black (O),1,0,0
64,64,white (X),white (X),1,0,0
65,65,black (O),black (O),1,0,0
66,66,white (X),black (O),0,1,0
67,67,black (O),black (O),1,0,0
68,68,white (X),white (X),1,0,0
69,69,black (O),black (O),1,0,0
70,70,white (X),white (X),1,0,0
71,71,black (O),black (O),1,0,0
72,72,white (X),white (X),1,0,0
73,73,black (O),black (O),1,0,0
74,74,white (X),white (X),1,0,0
75,75,black (O),black (O),1,0,0
76,76,white (X),white (X),1,0,0
77,77,black (O),black (O),1,0,0
78,78,white (X),white (X),1,0,0
79,79,black (O),black (O),1,0,0
80,80,white (X),white (X),1,0,0
81,81,black (O),black (O),1,0,0
82,82,white (X),white (X),1,0,0
83,83,black (O),black (O),1,0,0
84,84,white (X),white (X),1,0,0
85,85,black (O),white (X),0,1,0
86,86,white (X),white (X),1,0,0
87,87,black (O),black (O),1,0,0
88,88,white (X),white (X),1,0,0
89,89,black (O),white (X),0,1,0
90,90,white (X),white (X),1,0,0
91,91,black (O),black (O),1,0,0
92,92,white (X),white (X),1,0,0
93,93,black (O),black (O),1,0,0
94,94,white (X),white (X),1,0,0
95,95,black (O),black (O),1,0,0
96,96,white (X),white (X),1,0,0
97,97,black (O),black (O),1,0,0
98,98,white (X),white (X),1,0,0
99,99,black (O),white (X),0,1,0
100,100,white (X),white (X),1,0,0
101,101,black (O),black (O),1,0,0
102,102,white (X),white (X),1,0,0
103,103,black (O),black (O),1,0,0
104,104,white (X),white (X),1,0,0
105,105,black (O),black (O),1,0,0
106,106,white (X),black (O),0,1,0
107,107,black (O),black (O),1,0,0
108,108,white (X),black (O),0,1,0
109,109,black (O),black (O),1,0,0
110,110,white (X),white (X),1,0,0
111,111,black (O),white (X),0,1,0
112,112,white (X),white (X),1,0,0
113,113,black (O),black (O),1,0,0
114,114,white (X),white (X),1,0,0
115,115,black (O),black (O),1,0,0
116,116,white (X),white (X),1,0,0
117,117,black (O),black (O),1,0,0
118,118,white (X),white (X),1,0,0
119,119,black (O),black (O),1,0,0
120,120,white (X),white (X),1,0,0
121,121,black (O),black (O),1,0,0
122,122,white (X),white (X),1,0,0
123,123,black (O),black (O),1,0,0
124,124,white (X),white (X),1,0,0
125,125,black (O),black (O),1,0,0
126,126,white (X),white (X),1,0,0
127,127,black (O),black (O),1,0,0
128,128,white (X),white (X),1,0,0
129,129,black (O),black (O),1,0,0
130,130,white (X),white (X),1,0,0
131,131,black (O),black (O),1,0,0
132,132,white (X),white (X),1,0,0
133,133,black (O),white (X),0,1,0
134,134,white (X),white (X),1,0,0
135,135,black (O),black (O),1,0,0
136,136,white (X),white (X),1,0,0
137,137,black (O),white (X),0,1,0
138,138,white (X),white (X),1,0,0
139,139,black (O),white (X),0,1,0
140,140,white (X),white (X),1,0,0
141,141,black (O),black (O),1,0,0
142,142,white (X),white (X),1,0,0
143,143,black (O),black (O),1,0,0
144,144,white (X),white (X),1,0,0
145,145,black (O),black (O),1,0,0
146,146,white (X),white (X),1,0,0
147,147,black (O),black (O),1,0,0
148,148,white (X),white (X),1,0,0
149,149,black (O),black (O),1,0,0
150,150,white (X),white (X),1,0,0
151,151,black (O),black (O),1,0,0
152,152,white (X),white (X),1,0,0
153,153,black (O),white (X),0,1,0
154,154,white (X),white (X),1,0,0
155,155,black (O),black (O),1,0,0
156,156,white (X),white (X),1,0,0
157,157,black (O),black (O),1,0,0
158,158,white (X),white (X),1,0,0
159,159,black (O),white (X),0,1,0
160,160,white (X),white (X),1,0,0
161,161,black (O),black (O),1,0,0
162,162,white (X),white (X),1,0,0
163,163,black (O),black (O),1,0,0
164,164,white (X),white (X),1,0,0
165,165,black (O),,0,0,1
166,166,white (X),white (X),1,0,0
167,167,black (O),black (O),1,0,0
168,168,white (X),white (X),1,0,0
169,169,black (O),,0,0,1
170,170,white (X),white (X),1,0,0
171,171,black (O),black (O),1,0,0
172,172,white (X),black (O),0,1,0
173,173,black (O),black (O),1,0,0
174,174,white (X),black (O),0,1,0
175,175,black (O),black (O),1,0,0
176,176,white (X),white (X),1,0,0
177,177,black (O),black (O),1,0,0
178,178,white (X),white (X),1,0,0
179,179,black (O),black (O),1,0,0
180,180,white (X),white (X),1,0,0
181,181,black (O),black (O),1,0,0
182,182,white (X),white (X),1,0,0
183,183,black (O),black (O),1,0,0
184,184,white (X),white (X),1,0,0
