,game_nr,num_iter,mcts_color,winner
0,0,500,white (X),white (X)
1,1,500,black (O),black (O)
2,2,500,white (X),white (X)
3,3,500,black (O),black (O)
4,4,500,white (X),white (X)
5,5,500,black (O),
6,6,500,white (X),white (X)
7,7,500,black (O),
8,8,500,white (X),
9,9,500,black (O),black (O)
10,10,500,white (X),white (X)
11,11,500,black (O),
12,12,500,white (X),white (X)
13,13,500,black (O),black (O)
14,14,500,white (X),white (X)
15,15,500,black (O),black (O)
16,16,500,white (X),white (X)
17,17,500,black (O),black (O)
18,18,500,white (X),white (X)
19,19,500,black (O),black (O)
20,20,500,white (X),white (X)
21,21,500,black (O),black (O)
22,22,500,white (X),white (X)
23,23,500,black (O),black (O)
24,24,500,white (X),white (X)
25,25,500,black (O),black (O)
26,26,500,white (X),white (X)
27,27,500,black (O),black (O)
28,28,500,white (X),white (X)
29,29,500,black (O),white (X)
30,30,500,white (X),white (X)
31,31,500,black (O),black (O)
32,32,500,white (X),white (X)
33,33,500,black (O),black (O)
34,34,500,white (X),
35,35,500,black (O),black (O)
36,36,500,white (X),white (X)
37,37,500,black (O),white (X)
38,38,500,white (X),white (X)
39,39,500,black (O),white (X)
40,40,500,white (X),white (X)
41,41,500,black (O),
42,42,500,white (X),white (X)
43,43,500,black (O),black (O)
44,44,500,white (X),white (X)
45,45,500,black (O),
46,46,500,white (X),white (X)
47,47,500,black (O),black (O)
48,48,500,white (X),white (X)
49,49,500,black (O),black (O)
50,50,500,white (X),white (X)
51,51,500,black (O),black (O)
52,52,500,white (X),white (X)
53,53,500,black (O),
54,54,500,white (X),white (X)
55,55,500,black (O),black (O)
56,56,500,white (X),white (X)
57,57,500,black (O),black (O)
58,58,500,white (X),white (X)
59,59,500,black (O),black (O)
60,60,500,white (X),white (X)
61,61,500,black (O),black (O)
62,62,500,white (X),white (X)
63,63,500,black (O),black (O)
64,64,500,white (X),white (X)
65,65,500,black (O),black (O)
66,66,500,white (X),white (X)
67,67,500,black (O),black (O)
68,68,500,white (X),white (X)
69,69,500,black (O),black (O)
70,70,500,white (X),white (X)
71,71,500,black (O),white (X)
72,72,500,white (X),black (O)
73,73,500,black (O),black (O)
74,74,500,white (X),white (X)
75,75,500,black (O),black (O)
76,76,500,white (X),white (X)
77,77,500,black (O),black (O)
78,78,500,white (X),black (O)
79,79,500,black (O),
80,80,500,white (X),white (X)
81,81,500,black (O),black (O)
82,82,500,white (X),white (X)
83,83,500,black (O),black (O)
84,84,500,white (X),white (X)
85,85,500,black (O),black (O)
86,86,500,white (X),white (X)
87,87,500,black (O),
88,88,500,white (X),white (X)
89,89,500,black (O),
90,90,500,white (X),
91,91,500,black (O),white (X)
92,92,500,white (X),white (X)
93,93,500,black (O),
94,94,500,white (X),white (X)
95,95,500,black (O),black (O)
96,96,500,white (X),
97,97,500,black (O),black (O)
98,98,500,white (X),white (X)
99,99,500,black (O),black (O)
