,game_nr,ppo_color,winner
0,0,white (X),white (X)
1,1,black (O),
2,2,white (X),
3,3,black (O),
4,4,white (X),
5,5,black (O),
6,6,white (X),white (X)
7,7,black (O),
8,8,white (X),white (X)
9,9,black (O),
10,10,white (X),white (X)
11,11,black (O),
12,12,white (X),white (X)
13,13,black (O),
14,14,white (X),
15,15,black (O),
16,16,white (X),white (X)
17,17,black (O),
18,18,white (X),white (X)
19,19,black (O),
20,20,white (X),white (X)
21,21,black (O),
22,22,white (X),white (X)
23,23,black (O),
24,24,white (X),white (X)
25,25,black (O),
26,26,white (X),white (X)
27,27,black (O),
28,28,white (X),white (X)
29,29,black (O),
30,30,white (X),
31,31,black (O),
32,32,white (X),white (X)
33,33,black (O),
34,34,white (X),white (X)
35,35,black (O),
36,36,white (X),white (X)
37,37,black (O),
38,38,white (X),white (X)
39,39,black (O),
40,40,white (X),white (X)
41,41,black (O),
42,42,white (X),
43,43,black (O),
44,44,white (X),white (X)
45,45,black (O),
46,46,white (X),white (X)
47,47,black (O),
48,48,white (X),white (X)
49,49,black (O),
50,50,white (X),white (X)
51,51,black (O),
52,52,white (X),
53,53,black (O),
54,54,white (X),white (X)
55,55,black (O),
56,56,white (X),
57,57,black (O),
58,58,white (X),
59,59,black (O),
60,60,white (X),white (X)
61,61,black (O),
62,62,white (X),white (X)
63,63,black (O),
64,64,white (X),white (X)
65,65,black (O),
66,66,white (X),white (X)
67,67,black (O),
68,68,white (X),white (X)
69,69,black (O),
70,70,white (X),white (X)
71,71,black (O),
72,72,white (X),
73,73,black (O),
74,74,white (X),
75,75,black (O),
76,76,white (X),white (X)
77,77,black (O),
78,78,white (X),
79,79,black (O),
80,80,white (X),white (X)
81,81,black (O),
82,82,white (X),
83,83,black (O),
84,84,white (X),white (X)
85,85,black (O),
86,86,white (X),
87,87,black (O),
88,88,white (X),white (X)
89,89,black (O),
90,90,white (X),white (X)
91,91,black (O),
92,92,white (X),white (X)
93,93,black (O),
94,94,white (X),white (X)
95,95,black (O),
96,96,white (X),
97,97,black (O),
98,98,white (X),
99,99,black (O),
