,game_nr,ppo_color,winner
0,0,white (X),
1,1,black (O),
2,2,white (X),
3,3,black (O),
4,4,white (X),black (O)
5,5,black (O),
6,6,white (X),white (X)
7,7,black (O),white (X)
8,8,white (X),
9,9,black (O),
10,10,white (X),white (X)
11,11,black (O),white (X)
12,12,white (X),white (X)
13,13,black (O),
14,14,white (X),
15,15,black (O),
16,16,white (X),white (X)
17,17,black (O),white (X)
18,18,white (X),white (X)
19,19,black (O),
20,20,white (X),white (X)
21,21,black (O),
22,22,white (X),
23,23,black (O),black (O)
24,24,white (X),white (X)
25,25,black (O),
26,26,white (X),
27,27,black (O),
28,28,white (X),white (X)
29,29,black (O),white (X)
30,30,white (X),white (X)
31,31,black (O),
32,32,white (X),white (X)
33,33,black (O),
34,34,white (X),white (X)
35,35,black (O),white (X)
36,36,white (X),white (X)
37,37,black (O),black (O)
38,38,white (X),white (X)
39,39,black (O),
40,40,white (X),white (X)
41,41,black (O),
42,42,white (X),
43,43,black (O),
44,44,white (X),
45,45,black (O),
46,46,white (X),
47,47,black (O),
48,48,white (X),white (X)
49,49,black (O),black (O)
50,50,white (X),
51,51,black (O),
52,52,white (X),white (X)
53,53,black (O),
54,54,white (X),white (X)
55,55,black (O),
56,56,white (X),white (X)
57,57,black (O),
58,58,white (X),white (X)
59,59,black (O),
60,60,white (X),white (X)
61,61,black (O),
62,62,white (X),
63,63,black (O),
64,64,white (X),white (X)
65,65,black (O),
66,66,white (X),white (X)
67,67,black (O),
68,68,white (X),
69,69,black (O),
70,70,white (X),white (X)
71,71,black (O),black (O)
72,72,white (X),
73,73,black (O),white (X)
74,74,white (X),
75,75,black (O),
76,76,white (X),white (X)
77,77,black (O),
78,78,white (X),
79,79,black (O),
80,80,white (X),
81,81,black (O),black (O)
82,82,white (X),white (X)
83,83,black (O),
84,84,white (X),
85,85,black (O),
86,86,white (X),white (X)
87,87,black (O),
88,88,white (X),white (X)
89,89,black (O),black (O)
90,90,white (X),white (X)
91,91,black (O),
92,92,white (X),
93,93,black (O),black (O)
94,94,white (X),
95,95,black (O),
96,96,white (X),
97,97,black (O),
98,98,white (X),white (X)
99,99,black (O),white (X)
100,100,white (X),black (O)
101,101,black (O),
102,102,white (X),
103,103,black (O),
104,104,white (X),white (X)
105,105,black (O),
106,106,white (X),
107,107,black (O),
108,108,white (X),white (X)
109,109,black (O),
110,110,white (X),white (X)
111,111,black (O),
112,112,white (X),
113,113,black (O),
114,114,white (X),white (X)
115,115,black (O),
116,116,white (X),white (X)
117,117,black (O),
118,118,white (X),
119,119,black (O),
120,120,white (X),white (X)
121,121,black (O),
122,122,white (X),white (X)
123,123,black (O),
124,124,white (X),white (X)
125,125,black (O),
126,126,white (X),white (X)
127,127,black (O),
128,128,white (X),white (X)
129,129,black (O),
130,130,white (X),white (X)
131,131,black (O),
132,132,white (X),
133,133,black (O),
134,134,white (X),white (X)
135,135,black (O),
136,136,white (X),
137,137,black (O),
138,138,white (X),
139,139,black (O),white (X)
140,140,white (X),white (X)
141,141,black (O),
142,142,white (X),white (X)
143,143,black (O),
144,144,white (X),
145,145,black (O),
146,146,white (X),white (X)
147,147,black (O),
148,148,white (X),white (X)
149,149,black (O),
150,150,white (X),white (X)
151,151,black (O),
152,152,white (X),white (X)
153,153,black (O),
154,154,white (X),white (X)
155,155,black (O),
156,156,white (X),
157,157,black (O),
158,158,white (X),white (X)
159,159,black (O),
160,160,white (X),
161,161,black (O),
162,162,white (X),white (X)
163,163,black (O),
164,164,white (X),white (X)
165,165,black (O),
166,166,white (X),
167,167,black (O),
168,168,white (X),
169,169,black (O),black (O)
170,170,white (X),
171,171,black (O),black (O)
172,172,white (X),
173,173,black (O),
174,174,white (X),white (X)
175,175,black (O),
176,176,white (X),white (X)
177,177,black (O),
178,178,white (X),white (X)
179,179,black (O),
180,180,white (X),
181,181,black (O),
182,182,white (X),white (X)
183,183,black (O),
184,184,white (X),white (X)
185,185,black (O),black (O)
186,186,white (X),white (X)
187,187,black (O),
188,188,white (X),white (X)
189,189,black (O),black (O)
190,190,white (X),
191,191,black (O),
192,192,white (X),white (X)
193,193,black (O),
194,194,white (X),white (X)
195,195,black (O),
196,196,white (X),white (X)
197,197,black (O),white (X)
198,198,white (X),white (X)
199,199,black (O),
200,200,white (X),
201,201,black (O),
202,202,white (X),
203,203,black (O),black (O)
204,204,white (X),
205,205,black (O),
206,206,white (X),
207,207,black (O),
208,208,white (X),
209,209,black (O),
210,210,white (X),
211,211,black (O),
212,212,white (X),white (X)
