,white_locals,black_locals,winner
0,4,3,black
1,4,3,black
2,3,3,black
3,3,4,
4,3,4,white
5,4,4,
6,3,4,white
7,5,2,black
8,5,3,black
9,4,3,
10,5,4,white
11,2,3,white
12,2,4,white
13,2,5,white
14,3,3,white
15,3,4,white
16,5,3,black
17,4,4,
18,3,2,black
19,4,4,white
20,4,4,white
21,2,4,white
22,4,4,white
23,4,4,
24,3,4,
25,5,3,black
26,6,3,black
27,3,4,black
28,3,5,white
29,3,4,white
30,4,3,
31,3,4,white
32,5,4,black
33,4,4,
34,4,4,
35,5,3,black
36,4,4,black
37,5,2,black
38,1,3,white
39,4,4,black
40,4,2,black
41,3,1,black
42,3,5,white
43,4,1,black
44,4,2,black
45,4,4,
46,4,5,black
47,3,3,black
48,4,3,
49,5,3,
50,4,4,black
51,5,0,black
52,4,2,black
53,6,2,black
54,1,4,white
55,5,4,white
56,2,5,white
57,3,4,
58,4,5,white
59,4,3,black
60,4,3,black
61,4,3,black
62,4,4,white
63,4,5,white
64,4,2,
65,4,3,black
66,5,2,black
67,1,3,white
68,3,2,black
69,5,3,black
70,2,3,white
71,3,4,black
72,4,4,
73,2,5,white
74,3,2,black
75,6,3,black
76,4,3,black
77,4,5,white
78,3,5,white
79,4,4,black
80,5,4,black
81,4,2,black
82,5,4,white
83,5,4,
84,4,4,white
85,3,2,black
86,4,3,black
87,5,4,
88,3,4,
89,4,4,white
90,3,4,white
91,3,5,white
92,5,3,black
93,4,3,black
94,4,4,
95,1,3,white
96,4,3,white
97,3,4,white
98,3,6,white
99,5,2,
100,5,3,white
101,4,1,black
102,3,5,white
103,3,3,black
104,3,4,
105,4,4,black
106,4,3,black
107,3,6,white
108,4,4,black
109,5,3,black
110,3,1,black
111,6,3,black
112,3,5,
113,5,3,
114,3,2,black
115,2,3,white
116,5,4,
117,5,1,black
118,4,2,black
119,4,4,
120,4,3,black
121,2,5,white
122,4,3,black
123,3,3,
124,4,5,white
125,5,4,
126,4,1,black
127,4,4,black
128,4,3,black
129,3,2,black
130,5,3,black
131,3,4,
132,4,3,
133,4,4,white
134,3,4,white
135,4,3,black
136,5,4,black
137,2,4,white
138,4,1,black
139,4,3,black
140,3,3,black
141,5,3,black
142,3,5,white
143,5,1,black
144,3,5,white
145,4,4,
146,3,4,white
147,3,4,
148,2,4,white
149,4,3,
150,5,2,black
151,5,3,black
152,4,5,
153,3,5,white
154,4,2,black
155,4,4,black
156,4,3,black
157,2,4,white
158,2,5,white
159,4,4,
160,4,4,
161,5,2,black
162,4,4,black
163,5,2,black
164,3,4,white
165,3,4,white
166,2,4,white
167,4,5,white
168,4,4,white
169,2,5,white
170,5,4,
171,4,4,white
172,4,4,
173,3,3,white
174,3,5,white
175,5,3,black
176,5,3,black
177,4,4,black
178,5,3,black
179,3,4,white
180,4,3,black
181,4,3,black
182,0,4,white
183,4,3,black
184,4,5,white
185,4,3,black
186,4,2,black
187,2,4,white
188,4,3,
189,4,1,black
190,1,5,white
191,3,5,white
192,5,3,black
193,4,4,
194,2,4,white
195,4,3,black
196,5,2,black
197,5,2,black
198,4,2,black
199,4,1,black
200,2,4,white
201,4,3,black
202,6,2,
203,2,5,
204,5,2,
205,3,4,
206,2,3,white
207,2,5,white
208,5,4,black
209,3,4,white
210,5,3,
211,4,2,black
212,5,4,
213,4,4,black
214,4,5,
215,4,4,black
216,2,4,white
217,4,4,
218,4,4,black
219,3,1,black
220,3,3,black
221,5,4,
222,4,5,white
223,5,2,black
224,4,2,black
225,3,4,white
226,3,6,white
227,5,4,
228,3,5,black
229,3,2,black
230,4,4,
231,3,1,black
232,4,3,black
233,5,4,
234,3,4,white
235,2,5,white
236,4,2,
237,4,5,black
238,3,5,
239,2,5,white
240,4,2,black
241,5,3,black
242,5,4,black
243,4,4,
244,1,4,white
245,4,3,black
246,5,3,black
247,1,6,white
248,4,5,white
249,4,2,black
250,4,2,black
251,3,2,black
252,4,4,black
253,3,5,white
254,1,3,white
255,4,4,black
256,2,4,white
257,1,5,white
258,4,4,
259,3,3,black
260,3,6,white
261,5,3,black
262,3,4,white
263,5,2,black
264,2,3,white
265,3,6,black
266,3,3,black
267,4,5,
268,4,4,black
269,4,3,black
270,1,4,white
271,5,3,black
272,3,3,white
273,4,5,white
274,3,5,white
275,4,2,black
276,3,4,black
277,4,3,white
278,3,2,black
279,4,3,black
280,5,3,
281,2,3,white
282,5,4,black
283,4,4,
284,3,5,white
285,5,3,black
286,4,4,
287,5,2,black
288,4,2,black
289,5,4,
290,4,3,white
291,3,4,white
292,5,4,white
293,4,3,black
294,3,3,white
295,5,4,black
296,3,2,black
297,4,5,black
298,3,5,
299,3,3,white
300,4,3,black
301,4,3,black
302,4,4,black
303,4,3,
304,5,3,
305,4,5,white
306,1,3,white
307,3,3,black
308,3,3,
309,4,3,black
310,5,4,white
311,2,5,white
312,3,4,white
313,5,2,black
314,4,4,white
315,2,5,white
316,4,4,black
317,4,5,
318,4,4,
319,5,4,black
320,3,1,black
321,2,4,white
322,4,5,white
323,4,4,
324,4,4,white
325,4,5,white
326,5,3,black
327,5,0,black
328,3,4,
329,4,4,black
330,3,2,black
331,2,4,white
332,4,4,black
333,5,2,black
334,5,1,black
335,3,1,black
336,3,4,black
337,3,4,white
338,5,2,black
339,2,4,white
340,3,5,
341,5,3,black
342,1,3,white
343,2,6,white
344,3,2,black
345,4,3,black
346,4,3,white
347,5,4,black
348,2,4,white
349,5,2,black
350,6,1,black
351,4,1,black
352,5,2,black
353,3,4,white
354,2,5,white
355,3,2,black
356,2,5,white
357,3,3,white
358,2,3,white
359,3,3,black
360,4,3,black
361,4,4,black
362,4,4,
363,4,3,white
364,3,6,white
365,3,6,white
366,4,3,black
367,2,4,white
368,2,4,white
369,4,4,
370,2,3,white
371,4,4,white
372,4,4,
373,1,3,white
374,3,0,black
375,4,5,white
376,4,3,white
377,4,4,
378,1,3,white
379,3,5,white
380,5,4,
381,4,4,white
382,3,3,white
383,4,4,black
384,3,4,
385,3,4,white
386,5,4,black
387,4,0,black
388,4,4,white
389,4,3,
390,5,4,
391,5,4,
392,3,4,white
393,5,2,black
394,3,4,white
395,4,1,black
396,3,4,white
397,4,5,black
398,0,5,white
399,3,3,white
400,2,4,white
401,5,4,
402,5,3,
403,4,4,
404,3,5,
405,2,4,white
406,4,3,black
407,4,4,black
408,3,3,white
409,5,3,black
410,3,3,white
411,4,2,black
412,4,3,black
413,1,3,white
414,4,2,
415,5,3,black
416,3,4,white
417,4,4,black
418,5,4,black
419,3,5,white
420,4,2,black
421,4,3,
422,5,3,
423,4,4,
424,4,3,black
425,3,4,white
426,4,5,black
427,4,1,black
428,4,4,
429,4,4,white
430,4,4,white
431,3,3,black
432,3,4,
433,5,3,
434,4,4,white
435,5,3,
436,4,4,
437,1,4,white
438,5,3,black
439,3,5,white
440,5,4,
441,4,3,black
442,5,3,black
443,3,5,white
444,4,5,white
445,4,3,
446,2,5,white
447,3,3,black
448,0,4,white
449,4,5,black
450,5,4,black
451,5,3,
452,4,2,black
453,3,2,black
454,4,2,black
455,2,3,white
456,5,3,black
457,4,2,black
458,4,2,black
459,5,4,
460,6,2,black
461,4,3,black
462,1,4,white
463,4,3,
464,3,2,black
465,3,5,white
466,4,3,black
467,3,4,white
468,3,4,white
469,5,4,black
470,3,3,black
471,3,0,black
472,5,4,
473,4,2,black
474,3,5,white
475,4,4,
476,1,5,white
477,3,2,black
478,4,4,white
479,2,6,white
480,4,5,white
481,3,4,white
482,4,3,
483,5,4,black
484,4,3,black
485,2,4,white
486,4,3,black
487,5,1,black
488,2,4,white
489,3,5,white
490,3,4,white
491,3,3,white
492,5,4,black
493,3,2,
494,3,5,white
495,3,2,black
496,3,4,white
497,4,3,
498,1,5,white
499,4,4,black
500,4,3,black
501,4,3,black
502,3,4,
503,3,4,white
504,3,4,
505,5,3,
506,6,3,black
507,4,4,
508,3,5,white
509,3,4,
510,3,0,black
511,3,1,black
512,3,4,
513,4,4,black
514,4,4,
515,3,5,
516,5,1,black
517,4,5,white
518,3,4,white
519,0,3,white
520,3,4,white
521,2,4,white
522,4,3,black
523,3,4,white
524,4,3,black
525,4,3,black
526,2,3,white
527,5,4,black
528,3,4,white
529,4,1,black
530,4,2,black
531,3,4,white
532,4,3,black
533,0,5,white
534,2,5,white
535,3,3,white
536,3,4,white
537,5,3,black
538,3,1,black
539,4,2,black
540,4,1,black
541,4,4,white
542,3,5,white
543,3,4,white
544,3,3,black
545,3,3,white
546,3,4,
547,3,2,black
548,5,2,black
549,3,5,white
550,2,3,white
551,3,3,white
552,3,2,black
553,5,3,black
554,3,2,black
555,4,1,black
556,5,3,black
557,3,5,
558,5,4,white
559,4,5,white
560,4,3,white
561,3,2,black
562,3,4,white
563,3,2,
564,4,3,black
565,4,3,black
566,5,4,white
567,4,4,black
568,4,4,black
569,3,4,
570,6,3,black
571,4,1,black
572,2,4,white
573,4,4,black
574,5,4,
575,3,5,white
576,4,4,white
577,5,4,black
578,5,1,black
579,1,3,white
580,3,5,white
581,5,3,black
582,3,4,white
583,5,2,black
584,5,2,black
