,white_locals,black_locals,winner
0,4,4,
1,4,4,black
2,4,4,black
3,3,3,white
4,3,5,
5,2,3,white
6,3,4,
7,3,4,
8,4,2,black
9,4,2,black
10,4,2,black
11,3,4,white
12,6,3,black
13,3,4,black
14,5,4,black
15,3,5,
16,3,4,black
17,4,5,
18,3,4,
19,5,4,
20,3,4,white
21,5,3,
22,2,4,
23,5,1,black
24,4,4,white
25,4,2,black
26,5,3,
27,4,3,white
28,4,4,black
29,4,5,white
30,5,2,black
31,5,4,
32,3,1,black
33,5,1,black
34,3,3,white
35,4,4,
36,2,4,white
37,5,3,black
38,3,3,
39,4,3,black
40,3,4,white
41,5,1,black
42,2,4,white
43,3,3,black
44,2,5,white
45,3,3,black
46,2,5,white
47,3,2,black
48,5,3,
49,3,5,white
50,4,5,white
51,3,6,white
52,3,5,
53,2,4,white
54,5,4,
55,3,3,black
56,3,4,white
57,4,5,
58,4,3,black
59,5,3,black
60,4,3,
61,4,4,
62,4,4,
63,5,4,
64,3,4,white
65,5,3,
66,1,3,white
67,2,3,white
68,5,3,black
69,4,0,black
70,5,2,black
71,2,3,white
72,4,5,
73,5,2,
74,4,3,
75,4,2,black
76,0,4,white
77,4,3,white
78,3,5,
79,3,4,black
80,5,3,black
81,4,0,black
82,3,4,white
83,3,4,white
84,3,4,white
85,4,5,white
86,2,5,white
87,5,2,black
88,5,3,
89,3,5,white
90,2,4,white
91,2,4,white
92,3,4,
93,3,5,white
94,5,3,black
95,3,3,black
96,4,2,black
97,4,4,white
98,4,4,white
99,3,4,white
100,4,4,black
101,5,3,black
102,5,4,black
103,4,4,
104,4,4,white
105,4,3,black
106,3,4,black
107,3,3,black
108,4,4,
109,5,2,black
110,3,2,black
111,3,4,white
112,3,1,black
113,3,4,white
114,3,5,white
115,5,4,black
116,4,5,
117,4,2,black
118,5,2,black
119,5,3,black
120,4,4,
121,4,4,
122,4,1,black
123,3,5,white
124,1,3,white
125,5,2,black
126,5,3,black
127,4,4,white
128,3,2,black
129,3,5,white
130,4,4,black
131,3,4,white
132,4,3,
133,3,5,white
134,1,4,white
135,3,3,
136,5,4,
137,1,4,white
138,4,4,white
139,4,4,white
140,4,5,white
141,1,5,white
142,4,4,black
143,5,2,black
144,5,3,black
145,5,4,
146,4,5,white
147,4,4,black
148,5,4,
149,3,4,
150,5,4,
151,3,4,
152,3,0,black
153,5,3,white
154,5,2,black
155,4,4,black
156,4,4,
157,5,4,black
158,3,4,white
159,4,4,black
160,2,3,white
161,5,2,black
162,3,5,
163,4,3,black
164,3,5,white
165,4,5,white
166,3,5,white
167,4,4,
168,3,3,
169,5,3,black
170,5,4,
171,5,2,black
172,3,5,white
173,1,5,white
174,2,3,white
175,4,4,white
176,4,3,black
177,4,4,black
178,4,4,
179,3,4,white
180,4,3,
181,4,4,
182,1,3,white
183,4,3,
184,4,4,white
185,2,4,
186,3,4,white
187,3,5,white
188,4,1,black
189,4,3,black
190,2,3,white
191,5,3,black
192,5,3,black
193,4,3,black
194,3,4,white
195,4,4,white
196,2,5,
197,4,4,white
198,5,3,black
199,4,3,
200,4,3,black
201,4,4,black
202,4,4,
203,3,4,white
204,2,4,white
205,1,5,white
206,4,3,black
207,2,4,
208,5,2,black
209,4,1,black
210,3,5,white
211,2,4,white
212,1,3,white
213,4,4,
214,4,3,
215,5,3,
216,5,3,black
217,2,4,white
