,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,"(8, 0)","(0, 2)","(2, 2)","(2, 0)","(0, 6)","(6, 6)","(6, 3)","(3, 0)","(0, 3)","(3, 1)","(1, 7)","(7, 8)","(8, 8)","(8, 5)","(5, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 7)","(7, 7)","(7, 2)","(2, 6)","(6, 5)","(5, 6)","(6, 8)","(8, 2)","(2, 3)","(3, 7)","(7, 5)","(5, 2)","(2, 1)","(1, 4)","(4, 8)","(8, 4)","(4, 0)","(0, 5)","(5, 4)","(4, 1)","(1, 3)","(3, 2)","(2, 5)","(5, 3)","(1, 2)","(2, 7)","(7, 1)","(1, 1)","(1, 5)","(5, 8)","(8, 7)","(7, 6)","(6, 2)","(2, 4)","(4, 7)","(4, 3)","(5, 1)","(1, 6)","(8, 6)","(0, 8)","(4, 2)","(2, 8)","(4, 5)","(5, 7)","(1, 8)",,,,,,,,,,,,,,,,,,
1,"(0, 6)","(6, 8)","(8, 4)","(4, 5)","(5, 8)","(8, 2)","(2, 6)","(6, 6)","(6, 5)","(5, 7)","(7, 3)","(3, 6)","(6, 2)","(2, 5)","(5, 3)","(3, 4)","(4, 3)","(3, 8)","(8, 5)","(5, 4)","(4, 8)","(8, 7)","(7, 6)","(6, 1)","(1, 2)","(2, 2)","(2, 0)","(0, 3)","(3, 7)","(7, 1)","(1, 7)","(7, 2)","(2, 1)","(1, 1)","(1, 4)","(4, 1)","(1, 0)","(0, 7)","(7, 7)","(7, 8)","(8, 6)","(6, 3)","(3, 5)","(5, 6)","(6, 0)","(0, 5)","(5, 5)","(5, 2)","(2, 4)","(4, 2)","(2, 7)","(7, 4)","(4, 7)","(7, 0)","(0, 8)","(8, 0)","(0, 2)","(6, 4)","(4, 6)","(6, 7)","(3, 2)","(8, 3)","(3, 1)","(1, 5)","(1, 8)","(8, 1)",,,,,,,,,,,,,,,
2,"(2, 8)","(8, 6)","(6, 3)","(3, 6)","(6, 7)","(7, 5)","(5, 7)","(7, 0)","(0, 5)","(5, 4)","(4, 6)","(6, 0)","(0, 3)","(3, 3)","(3, 1)","(1, 3)","(3, 8)","(8, 5)","(5, 1)","(1, 0)","(0, 1)","(1, 1)","(1, 5)","(5, 8)","(8, 1)","(1, 2)","(2, 7)","(7, 8)","(8, 3)","(3, 0)","(0, 4)","(4, 4)","(4, 7)","(7, 6)","(6, 1)","(4, 2)","(2, 6)","(6, 4)","(4, 8)","(8, 8)","(8, 0)","(5, 5)","(5, 6)","(6, 8)","(8, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(3, 6)","(6, 0)","(0, 4)","(4, 1)","(1, 7)","(7, 4)","(4, 5)","(5, 6)","(6, 1)","(1, 4)","(4, 3)","(3, 8)","(8, 0)","(0, 3)","(3, 7)","(7, 3)","(3, 1)","(1, 5)","(5, 3)","(3, 0)","(0, 2)","(2, 1)","(1, 6)","(6, 3)","(3, 2)","(2, 4)","(4, 2)","(2, 6)","(6, 7)","(7, 2)","(2, 7)","(7, 8)","(8, 1)","(1, 0)","(0, 6)","(6, 5)","(5, 4)","(4, 7)","(7, 5)","(5, 0)","(8, 3)","(3, 5)","(5, 5)","(7, 1)","(1, 8)","(8, 2)","(2, 8)","(8, 4)","(4, 6)","(6, 6)","(8, 6)","(7, 0)","(2, 5)","(2, 3)","(3, 4)","(4, 0)","(2, 0)","(4, 8)","(4, 4)",,,,,,,,,,,,,,,,,,,,,,
4,"(8, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 8)","(8, 0)","(0, 4)","(4, 7)","(7, 5)","(5, 7)","(7, 6)","(6, 8)","(8, 3)","(3, 2)","(2, 2)","(2, 4)","(4, 3)","(3, 1)","(1, 0)","(0, 7)","(7, 8)","(8, 1)","(1, 2)","(2, 8)","(8, 8)","(8, 7)","(8, 2)","(2, 5)","(5, 3)","(3, 6)","(6, 4)","(4, 4)","(4, 6)","(6, 0)","(0, 5)","(5, 6)","(6, 2)","(2, 3)","(3, 8)","(8, 4)","(4, 8)","(1, 6)","(6, 6)","(3, 5)","(5, 5)","(5, 4)","(4, 1)","(1, 1)","(1, 7)","(0, 6)","(3, 0)","(0, 2)","(4, 0)","(0, 0)","(0, 1)","(1, 4)","(1, 5)","(5, 2)",,,,,,,,,,,,,,,,,,,,,,,
5,"(0, 4)","(4, 0)","(0, 5)","(5, 4)","(4, 8)","(8, 6)","(6, 0)","(0, 6)","(6, 1)","(1, 5)","(5, 0)","(0, 0)","(0, 7)","(7, 3)","(3, 3)","(3, 6)","(6, 2)","(2, 2)","(2, 7)","(7, 0)","(0, 2)","(2, 8)","(8, 4)","(4, 4)","(4, 6)","(5, 3)","(3, 8)","(8, 1)","(1, 1)","(1, 4)","(4, 1)","(1, 6)","(2, 4)","(4, 3)","(3, 7)","(7, 8)","(8, 5)","(5, 5)","(7, 1)","(1, 7)","(7, 7)","(7, 4)","(4, 2)","(2, 6)","(4, 5)","(2, 0)","(0, 1)","(1, 8)","(8, 7)","(2, 1)","(3, 0)","(3, 4)","(3, 2)","(8, 2)","(3, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(2, 7)","(7, 1)","(1, 4)","(4, 8)","(8, 4)","(4, 2)","(2, 4)","(4, 4)","(4, 7)","(7, 0)","(0, 3)","(3, 2)","(2, 1)","(1, 0)","(0, 4)","(4, 0)","(0, 0)","(0, 7)","(7, 5)","(5, 5)","(5, 6)","(6, 2)","(3, 7)","(7, 6)","(6, 5)","(5, 0)","(0, 5)","(5, 1)","(1, 8)","(8, 2)","(7, 3)","(3, 8)","(8, 3)","(3, 6)","(6, 3)","(3, 3)","(3, 5)","(5, 7)","(7, 2)","(3, 4)","(1, 6)","(6, 1)","(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(5, 3)","(3, 2)","(2, 3)","(3, 4)","(4, 2)","(2, 7)","(7, 7)","(7, 5)","(5, 4)","(4, 5)","(5, 7)","(7, 2)","(2, 1)","(1, 0)","(0, 5)","(5, 2)","(2, 4)","(4, 4)","(4, 3)","(3, 8)","(8, 8)","(8, 1)","(1, 8)","(8, 3)","(3, 1)","(1, 3)","(3, 5)","(5, 6)","(6, 2)","(2, 2)","(2, 0)","(0, 1)","(1, 4)","(4, 7)","(7, 0)","(0, 3)","(3, 3)","(3, 7)","(7, 8)","(8, 7)","(7, 3)","(3, 6)","(6, 3)","(6, 5)","(5, 1)","(1, 1)","(1, 2)","(2, 8)","(8, 6)","(6, 8)","(8, 5)","(1, 7)","(7, 6)","(6, 1)","(1, 6)","(6, 6)","(6, 4)","(4, 8)","(8, 0)","(0, 0)","(0, 2)","(2, 5)","(0, 8)","(8, 4)","(4, 1)","(6, 0)","(6, 7)","(4, 0)",,,,,,,,,,,,,
8,"(1, 2)","(2, 6)","(6, 2)","(2, 7)","(7, 2)","(2, 2)","(2, 0)","(0, 8)","(8, 4)","(4, 3)","(3, 4)","(4, 6)","(6, 4)","(4, 4)","(4, 1)","(1, 6)","(6, 8)","(8, 1)","(1, 7)","(7, 1)","(1, 3)","(3, 2)","(2, 1)","(1, 0)","(0, 7)","(7, 4)","(4, 7)","(7, 3)","(3, 1)","(1, 8)","(8, 8)","(8, 3)","(3, 6)","(6, 6)","(6, 0)","(0, 1)","(1, 4)","(4, 2)","(2, 4)","(0, 3)","(3, 3)","(3, 8)","(8, 6)","(0, 5)","(5, 0)","(0, 6)","(8, 0)","(0, 4)","(5, 8)","(1, 1)","(1, 5)","(5, 6)","(5, 7)","(7, 8)","(3, 0)","(5, 2)","(2, 8)","(7, 7)","(5, 3)","(5, 4)",,,,,,,,,,,,,,,,,,,,,
9,"(7, 7)","(7, 0)","(0, 8)","(8, 6)","(6, 1)","(1, 1)","(1, 2)","(2, 7)","(7, 6)","(6, 0)","(0, 5)","(5, 6)","(6, 8)","(8, 0)","(0, 4)","(4, 2)","(2, 1)","(1, 0)","(0, 6)","(6, 4)","(4, 6)","(6, 7)","(7, 4)","(4, 8)","(8, 3)","(3, 2)","(2, 3)","(3, 3)","(3, 6)","(6, 6)","(6, 2)","(2, 8)","(8, 2)","(2, 6)","(6, 5)","(5, 3)","(3, 5)","(5, 7)","(7, 8)","(8, 8)","(8, 4)","(4, 7)","(8, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
